DATE,DAY,MONTH,QUARTER,YEAR,WEEKDAY,MONTH_NAME,IS_WEEKEND,WEEK_OF_YEAR,FISCAL_YEAR
2022-09-09,9,9,3,2022,Friday,September,0,36,2022
2022-09-10,10,9,3,2022,Saturday,September,1,36,2022
2022-09-11,11,9,3,2022,Sunday,September,1,36,2022
2022-09-12,12,9,3,2022,Monday,September,0,37,2022
2022-09-13,13,9,3,2022,Tuesday,September,0,37,2022
2022-09-14,14,9,3,2022,Wednesday,September,0,37,2022
2022-09-15,15,9,3,2022,Thursday,September,0,37,2022
2022-09-16,16,9,3,2022,Friday,September,0,37,2022
2022-09-17,17,9,3,2022,Saturday,September,1,37,2022
2022-09-18,18,9,3,2022,Sunday,September,1,37,2022
2022-09-19,19,9,3,2022,Monday,September,0,38,2022
2022-09-20,20,9,3,2022,Tuesday,September,0,38,2022
2022-09-21,21,9,3,2022,Wednesday,September,0,38,2022
2022-09-22,22,9,3,2022,Thursday,September,0,38,2022
2022-09-23,23,9,3,2022,Friday,September,0,38,2022
2022-09-24,24,9,3,2022,Saturday,September,1,38,2022
2022-09-25,25,9,3,2022,Sunday,September,1,38,2022
2022-09-26,26,9,3,2022,Monday,September,0,39,2022
2022-09-27,27,9,3,2022,Tuesday,September,0,39,2022
2022-09-28,28,9,3,2022,Wednesday,September,0,39,2022
2022-09-29,29,9,3,2022,Thursday,September,0,39,2022
2022-09-30,30,9,3,2022,Friday,September,0,39,2022
2022-10-01,1,10,4,2022,Saturday,October,1,39,2022
2022-10-02,2,10,4,2022,Sunday,October,1,39,2022
2022-10-03,3,10,4,2022,Monday,October,0,40,2022
2022-10-04,4,10,4,2022,Tuesday,October,0,40,2022
2022-10-05,5,10,4,2022,Wednesday,October,0,40,2022
2022-10-06,6,10,4,2022,Thursday,October,0,40,2022
2022-10-07,7,10,4,2022,Friday,October,0,40,2022
2022-10-08,8,10,4,2022,Saturday,October,1,40,2022
2022-10-09,9,10,4,2022,Sunday,October,1,40,2022
2022-10-10,10,10,4,2022,Monday,October,0,41,2022
2022-10-11,11,10,4,2022,Tuesday,October,0,41,2022
2022-10-12,12,10,4,2022,Wednesday,October,0,41,2022
2022-10-13,13,10,4,2022,Thursday,October,0,41,2022
2022-10-14,14,10,4,2022,Friday,October,0,41,2022
2022-10-15,15,10,4,2022,Saturday,October,1,41,2022
2022-10-16,16,10,4,2022,Sunday,October,1,41,2022
2022-10-17,17,10,4,2022,Monday,October,0,42,2022
2022-10-18,18,10,4,2022,Tuesday,October,0,42,2022
2022-10-19,19,10,4,2022,Wednesday,October,0,42,2022
2022-10-20,20,10,4,2022,Thursday,October,0,42,2022
2022-10-21,21,10,4,2022,Friday,October,0,42,2022
2022-10-22,22,10,4,2022,Saturday,October,1,42,2022
2022-10-23,23,10,4,2022,Sunday,October,1,42,2022
2022-10-24,24,10,4,2022,Monday,October,0,43,2022
2022-10-25,25,10,4,2022,Tuesday,October,0,43,2022
2022-10-26,26,10,4,2022,Wednesday,October,0,43,2022
2022-10-27,27,10,4,2022,Thursday,October,0,43,2022
2022-10-28,28,10,4,2022,Friday,October,0,43,2022
2022-10-29,29,10,4,2022,Saturday,October,1,43,2022
2022-10-30,30,10,4,2022,Sunday,October,1,43,2022
